Rank,Tier,Player Count
CHALLENGER,3200LP,3
CHALLENGER,3100LP,4
CHALLENGER,3000LP,4
CHALLENGER,2900LP,7
CHALLENGER,2800LP,12
CHALLENGER,2700LP,12
CHALLENGER,2600LP,22
CHALLENGER,2500LP,10
CHALLENGER,2400LP,26
CHALLENGER,2300LP,31
CHALLENGER,2200LP,32
CHALLENGER,2100LP,46
CHALLENGER,2000LP,84
CHALLENGER,1900LP,7
GRANDMASTER,2000LP,4
GRANDMASTER,1900LP,67
GRANDMASTER,1800LP,103
GRANDMASTER,1700LP,84
GRANDMASTER,1600LP,145
GRANDMASTER,1500LP,176
GRANDMASTER,1400LP,121
MASTER,1400LP,99
MASTER,1300LP,241
MASTER,1200LP,345
MASTER,1100LP,377
MASTER,1000LP,535
MASTER,900LP,581
MASTER,800LP,743
MASTER,700LP,897
MASTER,600LP,1182
MASTER,500LP,1487
MASTER,400LP,1907
MASTER,300LP,3043
MASTER,200LP,3025
MASTER,100LP,4743
MASTER,0LP,9698
DIAMOND,IV,42562
DIAMOND,III,17693
DIAMOND,II,18352
DIAMOND,I,15671
EMERALD,IV,123532
EMERALD,III,64858
EMERALD,II,46595
EMERALD,I,51749
PLATINUM,IV,193518
PLATINUM,III,117141
PLATINUM,II,93944
PLATINUM,I,62662
GOLD,IV,230822
GOLD,III,163785
GOLD,II,145045
GOLD,I,101984
SILVER,IV,171006
SILVER,III,147439
SILVER,II,147271
SILVER,I,117435
BRONZE,IV,109440
BRONZE,III,94129
BRONZE,II,104010
BRONZE,I,98441
IRON,IV,7329
IRON,III,8504
IRON,II,18718
IRON,I,35764
