Rank,Tier,Player Count
CHALLENGER,3700LP,1
CHALLENGER,3600LP,1
CHALLENGER,3500LP,2
CHALLENGER,3100LP,1
CHALLENGER,3000LP,1
CHALLENGER,2900LP,1
CHALLENGER,2800LP,2
CHALLENGER,2700LP,2
CHALLENGER,2600LP,5
CHALLENGER,2500LP,12
CHALLENGER,2400LP,7
CHALLENGER,2300LP,16
CHALLENGER,2200LP,16
CHALLENGER,2100LP,14
CHALLENGER,2000LP,29
CHALLENGER,1900LP,17
CHALLENGER,1800LP,41
CHALLENGER,1700LP,53
CHALLENGER,1600LP,71
CHALLENGER,1500LP,8
GRANDMASTER,1600LP,4
GRANDMASTER,1500LP,56
GRANDMASTER,1400LP,75
GRANDMASTER,1300LP,96
GRANDMASTER,1200LP,106
GRANDMASTER,1100LP,151
GRANDMASTER,1000LP,185
GRANDMASTER,900LP,26
GRANDMASTER,800LP,1
MASTER,1000LP,28
MASTER,900LP,176
MASTER,800LP,281
MASTER,700LP,309
MASTER,600LP,419
MASTER,500LP,568
MASTER,400LP,700
MASTER,300LP,960
MASTER,200LP,1310
MASTER,100LP,1922
MASTER,0LP,4841
DIAMOND,IV,17519
DIAMOND,III,7084
DIAMOND,II,6914
DIAMOND,I,5856
EMERALD,IV,50037
EMERALD,III,25904
EMERALD,II,18413
EMERALD,I,20066
PLATINUM,IV,79814
PLATINUM,III,48070
PLATINUM,II,38246
PLATINUM,I,25379
GOLD,IV,97410
GOLD,III,68321
GOLD,II,60942
GOLD,I,42749
SILVER,IV,73907
SILVER,III,64045
SILVER,II,63427
SILVER,I,50252
BRONZE,IV,48243
BRONZE,III,41151
BRONZE,II,44933
BRONZE,I,43606
IRON,IV,3150
IRON,III,3459
IRON,II,7613
IRON,I,16127
